name,trifid,old_weight,weight_tier,recent_5yr_avg_lbs,years_used,hap_flag,hap_keywords,naics,naics_high_risk_flag,multiplier,new_weight,method
Solstice Advanced Materials (formerly Honeywell / Allied Chemical) — AWE Superfund Site,19703LLDSG6100P,3.0,3.0,2947.7,"2020,2019,2018,2017,2016",True,n-hexane; toluene,325180,True,1.1222,3.0,TRI-derived composite
Honeywell Delaware Plant,19703LLDSG6100P,2.81,2.5,2947.7,"2020,2019,2018,2017,2016",True,n-hexane; toluene,325180,True,1.1222,2.81,TRI-derived composite
Evraz Claymont Steel — Former Steel Mill (closed 2015),19703CTSTL4001P,2.88,2.5,29082.3,"2013,2012,2011,2010,2009",True,manganese; chromium; lead,331110,True,1.1514,2.88,TRI-derived composite
Pepsi Distribution Center — Former Steel Mill Site,,1.8,1.8,,,,,,,1.0,1.8,rubric tier (no TRI match)
Agile Cold Storage — Former Steel Mill Site,,1.8,1.8,,,,,,,1.0,1.8,rubric tier (no TRI match)
Former Tri-State Mall — Vacant,,1.5,1.5,,,,,,,1.0,1.5,rubric tier (no TRI match)
First State Crossing — Commercial/Industrial Development (NCC Monitoring),,1.5,1.5,,,,,,,1.0,1.5,rubric tier (no TRI match)
Citisteel / Phoenix Steel Contamination Site (DE-0046),,3.0,3.0,,,,,,,1.0,3.0,rubric tier (no TRI match)
INEOS (formerly General Chemical) — Delaware Valley Works,19703GNRLC6300P,3.0,3.0,15595.0,"2004,2003,2002,2001,2000",True,sulfuric acid; hydrogen fluoride; lead,325188,True,1.1429,3.0,TRI-derived composite
Messer LLC — Claymont Facility,19703RCNDS6000P,1.65,1.5,0.0,"2021,2020,2019,2018,1993",True,sulfuric acid,325120,True,1.1025,1.65,TRI-derived composite
Oceanport Industries,,2.0,2.0,,,,,,,1.0,2.0,rubric tier (no TRI match)
I-95 / I-495 / Route 13 — Claymont Diesel Corridor,,1.5,1.5,,,,,,,1.0,1.5,rubric tier (no TRI match)
Monroe Energy LLC — Trainer Refinery,19061BPLCMPOSTR,3.0,3.0,367956.2,"2024,2023,2022,2021,2020",True,xylene; toluene,324110,True,1.1874,3.0,TRI-derived composite
Energy Transfer Marcus Hook Complex,19061SNRFNGREEN,2.79,2.5,1736.7,"2024,2023,2022,2021,2020",True,asbestos; toluene,324110,True,1.117,2.79,TRI-derived composite
Braskem America — Marcus Hook,19061PSLNPBLUEB,2.76,2.5,45653.4,"2024,2023,2022,2021,2020",False,,325211,True,1.1026,2.76,TRI-derived composite
Lubrizol Corp — Pedricktown Plant,08067THBFGUSROU,2.25,2.0,3592.4,"2024,2023,2022,2021,2020",True,vinyl chloride; chlorine,325211,True,1.1244,2.25,TRI-derived composite
